Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"46550","2","2019-03-03 01:14:47","1","","","",""
"46551","1","2019-03-03 02:15:50","1","327","<python><classification><prediction>","1",""
"46552","1","2019-03-03 02:44:51","1","85","<python><scikit-learn><nlp><similarity><text>","0","1"
"67981","1","2020-02-12 15:50:48","0","37","<python><classification><prediction><naive-bayes-classifier><implementation>","1",""
"67983","1","2020-02-12 16:09:57","0","151","<python><classification><scikit-learn><logistic-regression>","2",""
"67984","1","2020-02-12 16:12:59","0","25","<nlp><transformer><text-generation><openai-gpt>","0",""
"67986","2","2020-02-12 17:00:36","0","","","",""
"67988","2","2020-02-12 17:30:28","2","","","",""
"67989","1","2020-02-12 17:57:02","2","1386","<python><dataframe><tokenization>","1",""
"67990","2","2020-02-12 18:02:41","1","","","",""
"67991","2","2020-02-12 19:08:05","3","","","",""
"67992","2","2020-02-12 19:55:25","2","","","",""
"67993","1","2020-02-12 21:07:05","1","28","<machine-learning><deep-learning><classification><deep-network><finetuning>","0","1"
"67994","2","2020-02-12 21:29:00","2","","","",""
"67995","2","2020-02-12 21:36:55","3","","","",""
"67996","1","2020-02-12 21:37:28","2","44","<machine-learning><scikit-learn>","2",""
"67997","1","2020-02-12 21:46:07","2","15","<logistic-regression><svm><probability><auc>","0",""
"67998","2","2020-02-12 23:06:06","1","","","",""
"67999","2","2020-02-13 00:09:58","0","","","",""
"68000","2","2020-02-13 00:27:31","1","","","",""
"68001","2","2020-02-13 01:01:00","1","","","",""
"68002","2","2020-02-13 04:24:41","2","","","",""
"68004","1","2020-02-13 06:06:42","0","18","<python><scikit-learn><tensorflow><statsmodels>","0",""
"68005","1","2020-02-13 06:42:33","2","119","<machine-learning><deep-learning><data-mining><predictive-modeling><training>","2",""
"68007","1","2020-02-13 07:46:24","0","20","<cloud><google-cloud>","0",""
"68008","2","2020-02-13 07:51:23","2","","","",""
"68009","1","2020-02-13 08:26:33","-3","36","<machine-learning><neural-network><data-science-model>","1",""
"68010","2","2020-02-13 08:48:06","0","","","",""
"68011","2","2020-02-13 09:36:45","0","","","",""
"68012","2","2020-02-13 09:37:47","0","","","",""
"68013","1","2020-02-13 10:37:17","0","23","<python><tensorflow>","0",""
"68014","1","2020-02-13 11:43:45","1","24","<keras><lstm><recurrent-neural-net><mxnet><gluon>","1",""
"68015","2","2020-02-13 12:01:41","1","","","",""
"68016","1","2020-02-13 12:48:01","0","484","<nlp><data><preprocessing><word-embeddings><word2vec>","1",""
"68017","1","2020-02-13 13:19:04","0","13","<regression><xgboost><outlier>","0",""
"68018","2","2020-02-13 13:24:07","1","","","",""
"68019","2","2020-02-13 13:38:06","1","","","",""
"68020","1","2020-02-13 14:09:33","1","65","<neural-network><nlp><autoencoder><transformer><attention-mechanism>","1","1"
"68022","1","2020-02-13 14:10:37","0","19","<python><scikit-learn><statistics><data-science-model><categorical-data>","0",""
"68023","2","2020-02-13 14:20:45","2","","","",""
"68024","1","2020-02-13 15:13:32","0","15","<python><deep-learning><pandas><lstm><dataframe>","0",""
"68025","1","2020-02-13 15:16:03","2","143","<tensorflow><nlp><word-embeddings>","1",""
"68026","1","2020-02-13 15:47:23","2","23","<machine-learning><scikit-learn><time-series><regression><predictive-modeling>","1",""
"68027","1","2020-02-13 16:01:16","1","24","<data-mining><text-mining>","0",""
"68028","2","2020-02-13 16:30:43","1","","","",""
"68029","1","2020-02-13 17:04:15","0","21","<r><dataframe>","0",""
"68030","2","2020-02-13 17:08:20","1","","","",""
"68031","1","2020-02-13 17:10:07","0","19","<machine-learning><neural-network>","0",""
"68032","2","2020-02-13 17:14:06","0","","","",""
"68033","1","2020-02-13 17:25:01","0","15","<accuracy><f1score>","0",""
"68034","1","2020-02-13 17:27:49","0","55","<clustering><data><prediction>","2",""
"68035","1","2020-02-13 17:29:24","1","28","<nlp><text-generation>","0",""
"68036","2","2020-02-13 17:41:48","0","","","",""
"68037","2","2020-02-13 17:47:04","0","","","",""
"68041","2","2020-02-13 18:26:25","0","","","",""
"68045","1","2020-02-13 19:27:40","1","36","<deep-learning><cnn><terminology><math>","1",""
"68046","1","2020-02-13 20:30:18","1","25","<cross-validation><accuracy><overfitting>","1",""
"68047","2","2020-02-13 20:49:13","1","","","",""
"68049","2","2020-02-13 21:06:34","2","","","",""
"68050","2","2020-02-13 22:21:15","1","","","",""
"68051","2","2020-02-13 23:12:21","0","","","",""
"68052","1","2020-02-13 23:40:41","0","17","<python><neural-network><keras><time-series><prediction>","0",""
"68053","1","2020-02-13 23:53:18","1","18","<random-forest><xgboost><class-imbalance>","1",""
"68054","2","2020-02-14 00:05:07","3","","","",""
"68055","2","2020-02-14 00:52:17","1","","","",""
"68056","1","2020-02-14 01:09:37","0","19","<multiclass-classification><unbalanced-classes><sampling>","1",""
"68057","1","2020-02-14 01:24:23","2","119","<machine-learning><python><scikit-learn><time-series><regression>","2","1"
"68058","1","2020-02-14 01:37:49","2","72","<machine-learning><gradient-descent><matplotlib><plotting><mini-batch-gradient-descent>","0",""
"68059","1","2020-02-14 03:01:57","0","44","<deep-learning><cross-validation>","0",""
"68060","1","2020-02-14 03:27:13","4","78","<classification><dataset><clustering>","2",""
"68061","1","2020-02-14 05:15:48","2","19","<convolution>","0",""
"63984","2","2019-11-29 11:14:30","0","","","",""
"63985","2","2019-11-29 11:14:59","2","","","",""
"63986","2","2019-11-29 11:23:19","0","","","",""
"63987","2","2019-11-29 11:29:05","0","","","",""
"63988","1","2019-11-29 12:00:56","2","64","<r><clustering><decision-trees><k-means><evaluation>","1",""
"63989","2","2019-11-29 12:11:34","1","","","",""
"63990","2","2019-11-29 12:39:25","1","","","",""
"63991","1","2019-11-29 12:57:57","0","148","<feature-selection><feature-engineering><data-science-model>","2",""
"63992","2","2019-11-29 13:30:10","0","","","",""
"63993","1","2019-11-29 13:32:19","1","349","<machine-learning><python><deep-learning><image-classification><opencv>","1",""
"63995","1","2019-11-29 13:44:52","0","83","<machine-learning><pca><dimensionality-reduction><representation>","1",""
"63997","1","2019-11-29 14:24:55","0","92","<machine-learning><deep-learning><transformer>","1","1"
"63999","2","2019-11-29 15:12:27","0","","","",""
"64000","2","2019-11-29 15:20:46","1","","","",""
"64001","1","2019-11-29 16:00:51","2","41","<machine-learning><nlp><gensim>","1",""
"64002","1","2019-11-29 16:03:46","1","888","<keras><tensorflow>","1","1"
"64003","2","2019-11-29 16:17:04","2","","","",""
"64004","1","2019-11-29 17:42:45","1","312","<reinforcement-learning>","0","1"
"64005","2","2019-11-29 17:45:42","2","","","",""
"64006","1","2019-11-29 17:50:49","2","92","<machine-learning><linear-regression><machine-learning-model><gradient-descent><feature-scaling>","2","2"
"64007","1","2019-11-29 18:41:04","1","116","<keras><tensorflow><backpropagation><evolutionary-algorithms>","0",""
"64008","1","2019-11-29 19:08:56","0","27","<deep-learning><image-classification>","0",""
"64009","1","2019-11-29 19:12:07","1","29","<data-mining><preprocessing><overfitting>","1",""
"64011","2","2019-11-29 21:40:27","1","","","",""
"64013","2","2019-11-29 21:44:08","3","","","",""
"64014","2","2019-11-29 23:15:53","1","","","",""
"64015","2","2019-11-30 01:02:38","1","","","",""
"64016","2","2019-11-30 02:56:30","1","","","",""
"64017","1","2019-11-30 06:40:43","1","11","<deep-learning><attention-mechanism>","0",""
"64018","1","2019-11-30 10:13:33","0","9","<machine-learning><recommender-system>","0",""
"64019","1","2019-11-30 10:14:36","1","48","<python><dataset><sampling><bayesian-networks>","2",""
"64020","1","2019-11-30 11:57:32","1","31","<linear-regression><gradient-descent><numpy><seaborn><python-3.x>","1",""
"64021","2","2019-11-30 12:18:24","0","","","",""
"64022","1","2019-11-30 12:31:00","6","2523","<neural-network><cnn><image-classification><perceptron>","3","8"
"64023","1","2019-11-30 12:54:39","0","19","<reinforcement-learning>","0",""
"64024","2","2019-11-30 12:59:44","1","","","",""
"64025","2","2019-11-30 13:06:37","1","","","",""
"64026","2","2019-11-30 13:20:56","1","","","",""
"64027","1","2019-11-30 14:37:04","1","42","<python><logistic-regression>","0",""
"64028","2","2019-11-30 14:38:32","-1","","","",""
"64029","1","2019-11-30 15:53:24","5","45","<machine-learning><nlp><nltk><spacy>","2",""
"64030","1","2019-11-30 16:02:45","1","21","<deep-learning><siamese-networks>","0",""
"64031","2","2019-11-30 16:03:06","0","","","",""
"64032","2","2019-11-30 16:07:05","1","","","",""
"64033","2","2019-11-30 16:13:40","7","","","",""
"64034","1","2019-11-30 16:46:16","0","59","<clustering><feature-scaling><clusters>","1",""
"64035","1","2019-11-30 17:50:03","1","15","<predictive-modeling>","0",""
"64036","2","2019-11-30 18:31:04","1","","","",""
"64037","1","2019-11-30 21:16:49","1","25","<machine-learning><neural-network><deep-learning>","0",""
"64038","2","2019-11-30 21:23:05","1","","","",""
"64039","1","2019-11-30 21:33:49","0","20","<machine-learning><python><classification><nlp>","0",""
"64040","2","2019-11-30 21:50:16","5","","","",""
"64041","1","2019-11-30 21:50:32","0","11","<clustering><statistics><data-analysis><descriptive-statistics>","0",""
"64042","1","2019-11-30 22:34:12","0","25","<machine-learning><neural-network><deep-learning><cnn><image-classification>","1",""
"64043","1","2019-11-30 23:29:33","1","25","<machine-learning><r><cross-validation>","0",""
"64044","1","2019-11-30 23:30:41","1","166","<machine-learning><keras><tensorflow><lstm><rnn>","1",""
"64045","2","2019-11-30 23:48:00","2","","","",""
"64046","2","2019-11-30 23:56:58","0","","","",""
"64047","1","2019-12-01 00:16:55","1","28","<time-series><correlation><excel>","1",""
"64048","1","2019-12-01 00:32:11","0","631","<keras><tensorflow>","1",""
"64049","1","2019-12-01 02:13:26","0","14","<machine-learning>","0",""
"64050","1","2019-12-01 04:21:05","1","17","<deep-learning><computer-vision>","1",""
"64051","1","2019-12-01 04:58:14","1","52","<faster-rcnn><annotation>","0",""
"64052","2","2019-12-01 05:27:22","2","","","",""
"64053","1","2019-12-01 05:54:40","1","90","<deep-learning><keras><autoencoder><dimensionality-reduction>","1",""
"64054","2","2019-12-01 06:25:34","1","","","",""
"64056","2","2019-12-01 09:52:30","0","","","",""
"64057","1","2019-12-01 13:10:41","2","127","<cnn><convolution><image-segmentation>","1","1"
"64058","1","2019-12-01 15:27:53","0","39","<machine-learning><r><preprocessing>","0",""
"52507","2","2019-05-24 02:54:19","1","","","",""
"52508","1","2019-05-24 02:59:13","1","33","<training><bias>","1",""
"52511","1","2019-05-24 06:46:23","-1","36","<r>","1",""
"52512","1","2019-05-24 07:03:04","1","69","<machine-learning><data><error-handling>","1",""
"52513","1","2019-05-24 07:07:12","2","262","<keras>","1","2"
"52515","1","2019-05-24 08:18:25","1","64","<machine-learning><clustering><pca><dimensionality-reduction>","3",""
"52516","1","2019-05-24 08:38:33","1","120","<python><tensorflow><numpy>","1","1"
"52517","1","2019-05-24 08:40:04","1","23","<neural-network><regression><activation-function>","1","1"
"52518","2","2019-05-24 08:45:59","2","","","",""
"52520","2","2019-05-24 08:57:03","2","","","",""
"52521","2","2019-05-24 09:02:45","0","","","",""
"52523","1","2019-05-24 09:37:31","2","566","<machine-learning><multiclass-classification><confusion-matrix>","1","1"
"52524","2","2019-05-24 09:51:02","1","","","",""
"52528","2","2019-05-24 11:44:38","0","","","",""
"52529","1","2019-05-24 11:47:00","2","62","<text-mining><orange>","1",""
"52531","2","2019-05-24 12:08:21","1","","","",""
"52533","2","2019-05-24 12:25:54","1","","","",""
"52534","2","2019-05-24 12:26:43","1","","","",""
"52535","1","2019-05-24 12:34:48","0","57","<machine-learning><cnn><image-classification><multiclass-classification>","1",""
"52536","2","2019-05-24 12:44:40","1","","","",""
"52542","1","2019-05-24 14:10:52","1","35","<linear-regression><gradient-descent>","1",""
"52543","2","2019-05-24 14:23:55","0","","","",""
"52544","2","2019-05-24 14:25:08","1","","","",""
"52545","2","2019-05-24 14:26:51","3","","","",""
"52546","2","2019-05-24 14:44:13","0","","","",""
"52547","1","2019-05-24 14:50:44","0","52","<machine-learning><nlp><statistics>","0",""
"52548","2","2019-05-24 14:53:53","6","","","",""
"52549","2","2019-05-24 14:55:30","1","","","",""
"52550","2","2019-05-24 15:01:34","0","","","",""
"52551","1","2019-05-24 15:07:33","0","19","<time-series><dataset><forecasting>","0",""
"52552","2","2019-05-24 15:13:57","0","","","",""
"52553","2","2019-05-24 15:33:09","0","","","",""
"52554","1","2019-05-24 15:35:08","0","159","<scikit-learn><evaluation><performance>","1",""
"52556","1","2019-05-24 16:42:09","0","3477","<linear-regression>","1",""
"52557","2","2019-05-24 16:52:42","2","","","",""
"52558","2","2019-05-24 17:09:01","2","","","",""
"52560","1","2019-05-24 17:19:49","0","135","<data-cleaning><preprocessing>","2","1"
"52561","2","2019-05-24 17:35:09","2","","","",""
"52563","1","2019-05-24 17:54:31","2","440","<python><pandas><visualization><matplotlib><seaborn>","0",""
"52564","2","2019-05-24 18:10:36","1","","","",""
"52565","1","2019-05-24 18:51:59","3","200","<python><classification><time-series><dataset>","1",""
"52567","2","2019-05-24 19:59:03","0","","","",""
"52568","1","2019-05-24 21:36:23","1","132","<machine-learning><clustering><apache-spark><pyspark><clusters>","2",""
"52569","2","2019-05-24 21:39:19","1","","","",""
"52570","1","2019-05-24 22:09:22","1","649","<machine-learning><logistic-regression><correlation>","1","2"
"52571","1","2019-05-24 22:34:15","1","221","<machine-learning><deep-learning><optimization>","1","1"
"52573","2","2019-05-25 01:46:54","3","","","",""
"52576","1","2019-05-25 04:55:01","3","180","<regression><linear-regression>","1",""
"52579","1","2019-05-25 05:55:19","1","49","<data-mining><bigdata><parsing>","1",""
"52580","1","2019-05-25 05:58:33","0","30","<data-mining><dataset><feature-extraction><recurrent-neural-net>","1",""
"52582","1","2019-05-25 06:17:57","2","45","<machine-learning><deep-learning><regression><predictive-modeling><transfer-learning>","1",""
"52583","1","2019-05-25 07:09:23","0","58","<machine-learning><dataset><cross-validation>","1",""
"52584","1","2019-05-25 07:54:20","0","140","<python><anaconda>","2",""
"52585","2","2019-05-25 08:10:05","1","","","",""
"52586","2","2019-05-25 08:12:00","1","","","",""
"52587","2","2019-05-25 08:17:49","0","","","",""
"52588","2","2019-05-25 08:21:11","1","","","",""
"52590","2","2019-05-25 09:47:57","1","","","",""
"52591","2","2019-05-25 10:32:33","0","","","",""
"52593","1","2019-05-25 11:18:20","0","75","<machine-learning><python><neural-network><keras><mlp>","1",""
"52594","1","2019-05-25 11:23:11","0","70","<cnn><data-science-model>","1",""
"52595","2","2019-05-25 11:34:46","1","","","",""
"52596","2","2019-05-25 11:47:26","3","","","",""
"52597","2","2019-05-25 11:54:02","1","","","",""
"52598","2","2019-05-25 12:04:57","1","","","",""
"52601","1","2019-05-25 13:05:12","1","57","<clustering><optimization><evolutionary-algorithms>","2",""
"52602","2","2019-05-25 13:08:24","1","","","",""
"52603","2","2019-05-25 13:44:18","-1","","","",""
"52605","2","2019-05-25 13:57:15","3","","","",""
"52606","2","2019-05-25 13:58:43","0","","","",""
"52607","2","2019-05-25 14:08:57","1","","","",""
"52608","2","2019-05-25 14:17:48","2","","","",""
"52609","2","2019-05-25 14:32:15","0","","","",""
"52610","1","2019-05-25 14:39:48","4","103","<python><time-series><lstm>","1","1"
"52611","2","2019-05-25 15:40:44","0","","","",""
"52612","2","2019-05-25 16:04:40","1","","","",""
"52613","1","2019-05-25 16:48:30","2","4011","<python><pandas>","2","2"
"52615","1","2019-05-25 17:00:16","1","1110","<machine-learning><regression><linear-regression>","2",""
"52616","1","2019-05-25 17:34:09","3","61","<time-series><predictive-modeling><forecast>","1",""
"60560","2","2019-09-21 21:57:09","3","","","",""
"60561","2","2019-09-21 23:10:57","2","","","",""
"60562","2","2019-09-21 23:43:18","0","","","",""
"60563","2","2019-09-21 23:55:43","1","","","",""
"60564","2","2019-09-22 00:10:56","0","","","",""
"60565","2","2019-09-22 00:33:13","1","","","",""
"60566","1","2019-09-22 00:37:18","0","50","<machine-learning><k-nn>","0",""
"60567","1","2019-09-22 00:37:54","2","26","<natural-language-process>","1",""
"60568","2","2019-09-22 00:40:53","0","","","",""
"60569","1","2019-09-22 00:49:19","3","153","<tensorflow><lstm><training>","2",""
"60571","1","2019-09-22 02:33:04","1","69","<random-forest><xgboost>","0",""
"60572","1","2019-09-22 03:29:31","0","33","<machine-learning><keras><perceptron>","0",""
"60573","1","2019-09-22 07:15:22","0","135","<deep-learning><preprocessing><recurrent-neural-net>","0",""
"60574","1","2019-09-22 07:59:19","0","29","<machine-learning><kernel><mathematics>","1",""
"60575","2","2019-09-22 08:08:36","1","","","",""
"60576","1","2019-09-22 08:25:00","1","23","<machine-learning><algorithms><unsupervised-learning><data-science-model>","1",""
"60577","1","2019-09-22 08:43:59","0","25","<classification><statistics><bayesian>","0",""
"60579","2","2019-09-22 10:47:15","0","","","",""
"60581","2","2019-09-22 11:36:16","0","","","",""
"60582","1","2019-09-22 12:02:07","0","13","<keras>","0",""
"60583","1","2019-09-22 12:25:15","2","43","<linear-regression><logistic-regression>","1",""
"60584","1","2019-09-22 12:26:28","0","155","<reinforcement-learning>","0",""
"60585","2","2019-09-22 13:12:19","4","","","",""
"60586","2","2019-09-22 13:33:44","1","","","",""
"60587","1","2019-09-22 14:00:09","0","18","<classification><features>","0",""
"60588","1","2019-09-22 14:07:53","-1","1012","<python><pandas><dataframe>","1",""
"60589","1","2019-09-22 14:16:41","0","141","<feature-engineering><data-science-model>","2",""
"60590","1","2019-09-22 14:34:00","0","60","<neural-network><keras><tensorflow>","2",""
"60591","1","2019-09-22 16:22:24","0","17","<gradient-descent><cost-function><theano>","0",""
"60592","1","2019-09-22 16:49:33","0","21","<deep-learning><convnet><convolution><inceptionresnetv2>","2",""
"60593","1","2019-09-22 16:54:28","0","54","<machine-learning><dataset><feature-engineering>","1","3"
"60594","2","2019-09-22 17:58:14","1","","","",""
"60595","1","2019-09-22 17:58:15","1","561","<neural-network><deep-learning><keras><autoencoder><dimensionality-reduction>","1",""
"60596","2","2019-09-22 18:43:24","0","","","",""
"60597","1","2019-09-22 18:44:04","0","36","<python><classification><dataset><machine-learning-model>","1",""
"60598","1","2019-09-22 18:46:34","2","63","<clustering><unsupervised-learning><supervised-learning><semi-supervised-learning>","4",""
"60599","2","2019-09-22 18:51:30","0","","","",""
"60600","2","2019-09-22 18:55:10","1","","","",""
"60601","1","2019-09-22 19:06:41","0","18","<machine-learning><deep-learning><predictive-modeling><machine-learning-model><prediction>","0",""
"60603","1","2019-09-22 20:03:14","1","42","<word-embeddings>","1","2"
"60604","2","2019-09-22 20:50:12","0","","","",""
"60605","2","2019-09-22 20:54:58","0","","","",""
"60606","1","2019-09-22 21:26:56","1","127","<machine-learning><reinforcement-learning>","1",""
"60607","2","2019-09-22 22:01:17","1","","","",""
"60608","1","2019-09-22 22:43:10","1","30","<unsupervised-learning>","2",""
"60609","2","2019-09-23 01:13:36","0","","","",""
"60610","1","2019-09-23 01:29:44","2","37","<algorithms><optimization><performance><convergence>","1",""
"60611","1","2019-09-23 01:30:48","1","238","<python><neural-network><scikit-learn>","2","1"
"60612","2","2019-09-23 01:35:17","1","","","",""
"60613","1","2019-09-23 01:43:51","0","115","<python><deep-learning><classification><loss-function>","1",""
"60614","2","2019-09-23 02:01:13","1","","","",""
"60615","2","2019-09-23 02:04:03","2","","","",""
"60617","1","2019-09-23 03:31:32","2","442","<machine-learning><terminology>","1","2"
"60618","2","2019-09-23 06:30:12","0","","","",""
"60619","2","2019-09-23 06:37:30","1","","","",""
"60620","1","2019-09-23 07:07:05","1","134","<loss-function>","1",""
"60621","2","2019-09-23 07:10:27","1","","","",""
"60624","1","2019-09-23 08:37:32","1","79","<keras>","2",""
"60625","2","2019-09-23 08:38:46","0","","","",""
"60626","2","2019-09-23 08:42:56","2","","","",""
"60627","2","2019-09-23 08:50:17","1","","","",""
"60629","1","2019-09-23 08:58:16","1","73","<machine-learning><python><predictive-modeling><churn><data-leakage>","1","1"
"60630","2","2019-09-23 09:14:51","1","","","",""
"60631","1","2019-09-23 09:17:26","1","31","<predictive-modeling><decision-trees>","2","0"
"60633","2","2019-09-23 09:45:07","1","","","",""
"60634","1","2019-09-23 09:48:36","0","11","<recommender-system><cosine-distance>","0","1"
"60635","1","2019-09-23 10:15:53","0","6","<classification><probability>","0",""
"60637","1","2019-09-23 11:16:48","0","64","<deep-learning><time-series><lstm><normalization><forecasting>","2",""
"60638","1","2019-09-23 11:28:18","1","15","<random-forest><feature-engineering><machine-learning-model><feature-scaling>","0",""
"46553","1","2019-03-03 03:24:15","2","81","<dataset>","2",""
"46555","2","2019-03-03 04:42:19","2","","","",""
"46557","2","2019-03-03 04:57:34","0","","","",""
"46558","2","2019-03-03 05:17:18","0","","","",""
"46559","1","2019-03-03 05:20:59","2","36","<machine-learning><neural-network><deep-learning><lstm><rnn>","1",""
"46560","1","2019-03-03 05:30:48","0","107","<scikit-learn><clustering><k-means>","1",""
"46561","1","2019-03-03 07:05:49","2","708","<tensorflow><cnn>","1",""
"46562","1","2019-03-03 07:10:55","1","16","<lstm><loss-function>","1",""
"46564","2","2019-03-03 07:45:11","1","","","",""
"46565","1","2019-03-03 08:09:34","0","520","<data-cleaning>","1",""
"46566","2","2019-03-03 08:31:43","0","","","",""
"46567","2","2019-03-03 08:43:49","1","","","",""
"46568","2","2019-03-03 09:16:55","2","","","",""
"46569","1","2019-03-03 09:50:00","1","409","<performance><nltk>","0",""
"46570","2","2019-03-03 09:54:14","1","","","",""
"46575","1","2019-03-03 11:40:51","2","500","<python><regression><pandas><numpy><svr>","1",""
"46577","2","2019-03-03 12:56:05","1","","","",""
"46580","1","2019-03-03 14:27:04","0","364","<python><tensorflow><bigdata>","1","1"
"46583","2","2019-03-03 15:16:26","-1","","","",""
"46586","1","2019-03-03 16:35:03","2","58","<machine-learning><data-science-model>","2",""
"46587","2","2019-03-03 17:24:58","2","","","",""
"72572","2","2020-04-19 11:29:29","0","","","",""
"72573","1","2020-04-19 11:33:10","0","22","<machine-learning><image-classification><svm><pca>","1","1"
"72574","1","2020-04-19 12:08:39","0","10","<gradient-descent><matlab><gradient>","0",""
"72576","1","2020-04-19 12:14:34","0","35","<python><deep-learning><keras><nlp><labelling>","0",""
"72577","1","2020-04-19 12:25:22","0","12","<python><probability><distribution><multivariate-distribution>","0",""
"72579","1","2020-04-19 14:27:34","0","19","<time-series>","0",""
"72582","1","2020-04-19 14:59:06","0","6","<machine-learning><text-mining><text-classification>","0",""
"72583","2","2020-04-19 16:10:54","0","","","",""
"72584","1","2020-04-19 16:18:18","0","17","<feature-engineering><feature-construction>","1",""
